source_label,source_mode,title,url,drop_reason
The Star,direct_seed,Trader pleads not guilty to posting offensive content on Instagram,https://www.thestar.com.my/news/nation/2026/04/07/trader-pleads-not-guilty-to-posting-offensive-content-on-instagram,not_malaysia_relevant
The Star,direct_seed,"Bowling centre worker found dead had complained of headache, says manager",https://www.thestar.com.my/news/nation/2026/04/07/bowling-centre-worker-found-dead-had-complained-of-headache-says-manager,not_malaysia_relevant
The Star,direct_seed,Chef pleads guilty to raping girlfriend's teenage daughter,https://www.thestar.com.my/news/nation/2026/04/07/chef-pleads-guilty-to-raping-girlfriend039s-teenage-daughter,not_malaysia_relevant
NST,direct_seed,"Man killed in parang attack in Buntong, several injured",https://www.nst.com.my/news/regional/2026/04/1412122/man-killed-parang-attack-buntong-several-injured,not_malaysia_relevant
NST,direct_seed,"Four siblings draw attention with unique names inspired by brands, icons",https://www.nst.com.my/news/nation/2026/04/1412107/four-siblings-draw-attention-unique-names-inspired-brands-icons,not_malaysia_relevant
NST,direct_seed,East Coast tour bus operators face shutdown over diesel price hike,https://www.nst.com.my/news/regional/2026/04/1412093/east-coast-tour-bus-operators-face-shutdown-over-diesel-price-hike,not_malaysia_relevant
NST,direct_seed,"Stubbed out: Two Singaporeans fined RM1,000 each for littering cigarette butts in JB",https://www.nst.com.my/news/regional/2026/04/1412068/stubbed-out-two-singaporeans-fined-rm1000-each-littering-cigarette,not_malaysia_relevant
NST,direct_seed,"4 policemen remanded in RM12,000 bribery probe by MACC [WATCH]",https://www.nst.com.my/news/regional/2026/04/1412059/4-policemen-remanded-rm12000-bribery-probe-macc-watch,not_malaysia_relevant
Free Malaysia Today,direct_seed,Dr M denies dividing Malays through Bersatu,https://www.freemalaysiatoday.com/category/nation/2026/04/07/dr-m-denies-dividing-malays-through-bersatu,not_articleish
Free Malaysia Today,direct_seed,"No oil supply crisis on the horizon, says Anwar",https://www.freemalaysiatoday.com/category/nation/2026/04/07/no-oil-supply-crisis-on-the-horizon-says-anwar,not_articleish
Free Malaysia Today,direct_seed,Zahid pushes for halal park expansion in all states,https://www.freemalaysiatoday.com/category/nation/2026/04/07/zahid-pushes-for-halal-park-expansion-in-all-states,not_articleish
Free Malaysia Today,direct_seed,Trailer driver in Segamat crash charged with 3 counts of murder,https://www.freemalaysiatoday.com/category/nation/2026/04/07/trailer-driver-in-segamat-crash-charged-with-3-counts-of-murder,not_articleish
Free Malaysia Today,direct_seed,Bukit Aman warns of ‘like-and-share’ approach in online job scams,https://www.freemalaysiatoday.com/category/nation/2026/04/07/bukit-aman-warns-of-like-and-share-approach-in-online-job-scams,not_articleish
Free Malaysia Today,direct_seed,"Singaporean duo fined RM1,000 each for littering",https://www.freemalaysiatoday.com/category/nation/2026/04/07/singaporean-duo-fined-rm1000-each-for-littering,not_articleish
Free Malaysia Today,direct_seed,Education ministry takes full responsibility for IPG trainees tragedy,https://www.freemalaysiatoday.com/category/nation/2026/04/07/education-ministry-takes-full-responsibility-for-ipg-trainees-tragedy,not_articleish
Free Malaysia Today,direct_seed,"Govt renews push for national harmony, reconciliation commission",https://www.freemalaysiatoday.com/category/nation/2026/04/07/govt-renews-push-for-national-harmony-reconciliation-commission,not_articleish
Free Malaysia Today,direct_seed,"PN out of political fodder in Perak, say analysts",https://www.freemalaysiatoday.com/category/nation/2026/04/07/pn-out-of-political-fodder-in-perak-say-analysts,not_articleish
Free Malaysia Today,direct_seed,"Don’t let Madani Marts squeeze out sundry shops, govt told",https://www.freemalaysiatoday.com/category/nation/2026/04/07/dont-let-madani-marts-squeeze-out-sundry-shops-govt-told,not_articleish
Free Malaysia Today,direct_seed,"Amend law to allow heavier penalties for scammers, govt urged",https://www.freemalaysiatoday.com/category/nation/2026/04/07/amend-law-to-allow-heavier-penalties-for-scammers-govt-urged,not_articleish
Free Malaysia Today,direct_seed,UPSI bowling alley staff found dead in locked storage room,https://www.freemalaysiatoday.com/category/nation/2026/04/07/upsi-bowling-alley-staff-found-dead-in-locked-storage-room,not_articleish
Free Malaysia Today,direct_seed,"Using Thai way to grow EV sector not the way, says industry expert",https://www.freemalaysiatoday.com/category/nation/2026/04/07/using-thai-way-to-grow-ev-sector-not-the-way-says-industry-expert,not_articleish
Free Malaysia Today,direct_seed,Daim’s daughter claims trial to failing to declare assets,https://www.freemalaysiatoday.com/category/nation/2026/04/07/daims-daughter-claims-trial-to-failing-to-declare-assets,not_articleish
Free Malaysia Today,direct_seed,Tiger tracks discovered in Kluang,https://www.freemalaysiatoday.com/category/nation/2026/04/07/tiger-tracks-discovered-in-kluang,not_articleish
Free Malaysia Today,direct_seed,Sunway thanks 33.5% of IJM shareholders who took up takeover offer,https://www.freemalaysiatoday.com/category/nation/2026/04/07/sunway-thanks-33-of-ijm-shareholders-who-took-up-takeover-offer,not_articleish
Free Malaysia Today,direct_seed,"Explore new transit routes to Langkawi, says tourism player",https://www.freemalaysiatoday.com/category/nation/2026/04/07/explore-new-transit-routes-to-langkawi-says-tourism-player,not_articleish
Free Malaysia Today,direct_seed,DAP leaders ordered to explain severity of energy crisis to masses,https://www.freemalaysiatoday.com/category/nation/2026/04/07/dap-leaders-ordered-to-explain-severity-of-energy-crisis-to-masses,not_articleish
Free Malaysia Today,direct_seed,Gerakan ready to work with Hamzah’s new party,https://www.freemalaysiatoday.com/category/nation/2026/04/07/gerakan-ready-to-work-with-hamzahs-new-party,not_articleish
Free Malaysia Today,direct_seed,"Amanah likely to go on the defensive in GE16, says analyst",https://www.freemalaysiatoday.com/category/nation/2026/04/07/amanah-likely-to-go-on-the-defensive-in-ge16-says-analyst,not_articleish
Free Malaysia Today,direct_seed,"Subsidies not enough, say experts as tourism faces diesel squeeze",https://www.freemalaysiatoday.com/category/nation/2026/04/07/subsidies-not-enough-say-experts-as-tourism-faces-diesel-squeeze,not_articleish
Free Malaysia Today,direct_seed,Union urges govt to monitor Batik Air’s cost-cutting measures,https://www.freemalaysiatoday.com/category/nation/2026/04/06/union-urges-govt-to-monitor-batik-airs-cost-cutting-measures,not_articleish
Free Malaysia Today,direct_seed,"Even if Mideast ceasefire is reached, we’ll feel impact, says DPM",https://www.freemalaysiatoday.com/category/nation/2026/04/06/even-if-mideast-ceasefire-is-reached-well-feel-impact-says-dpm,not_articleish
Free Malaysia Today,direct_seed,Johor PKR prepared to negotiate seats with Umno for state polls,https://www.freemalaysiatoday.com/category/nation/2026/04/06/johor-pkr-prepared-to-negotiate-seats-with-umno-for-state-polls,not_articleish
Free Malaysia Today,direct_seed,No extension for pharmacists who have reached maximum tenure,https://www.freemalaysiatoday.com/category/nation/2026/04/06/no-extension-for-pharmacists-who-have-reached-maximum-tenure,not_articleish
Free Malaysia Today,direct_seed,MACC to apply for red notice against Daim’s 2 sons over no-show,https://www.freemalaysiatoday.com/category/nation/2026/04/06/macc-to-apply-for-red-notice-against-daims-2-sons-over-no-show,not_articleish
Free Malaysia Today,direct_seed,Sunway’s takeover offer for IJM lapses,https://www.freemalaysiatoday.com/category/nation/2026/04/06/sunways-takeover-offer-for-ijm-lapses,not_articleish
Free Malaysia Today,direct_seed,Daim’s daughter to face asset declaration charge tomorrow,https://www.freemalaysiatoday.com/category/nation/2026/04/06/daims-daughter-to-face-asset-declaration-charge-tomorrow,not_articleish
